Time,Open,High,Low,Last,Change,Volume
4/22/2008,25.275,25.365,25.12,25.26,-0.005,17923000
4/21/2008,25.275,25.42,25.045,25.265,-0.095,20784000
4/18/2008,25.5,25.76,25.245,25.36,-0.105,27030200
4/17/2008,25.775,25.925,25.4,25.465,-0.21,28468400
4/16/2008,26.275,26.41,25.53,25.675,-0.28,26442000
4/15/2008,26.2,26.445,25.775,25.955,-0.28,15987600
4/14/2008,26.445,26.45,26.125,26.235,-0.165,12195000
4/11/2008,26.905,26.905,26.4,26.4,-0.555,13448800
4/10/2008,27.025,27.145,26.785,26.955,0.02,8449800
4/9/2008,26.96,27.17,26.76,26.935,-0.065,17114600
4/8/2008,27.28,27.425,26.96,27,-0.435,8803600
